digital_entity_id,digital_entity_type,access_uri,web_statement,format,license,rights,rights_uri,access_rights,rights_holder,source,source_uri,creator,created,modified,language,bibliographic_citation
digent_5.02_L378,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_5.02_R377,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_5.03_L372,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_5.03_R371,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_5.07_L375,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_5.07_R376,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_5.08_L367,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_5.08_R368,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_5.11_L369,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_5.11_R370,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_5.13_L373,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_6.01_L378,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_6.01_R377,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_6.02_L372,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_6.02_R371,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_6.03_L375,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_6.03_R376,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_6.04_L367,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_6.04_R368,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_6.05_L369,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_6.05_R370,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_6.12_L373,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_6.12_R374,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_7.01_L378,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_7.01_R377,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_7.02_L372,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_7.02_R371,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_7.03_L375,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_7.03_R376,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_7.04_L367,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_7.04_R368,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_7.05_L369,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_7.05_R370,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
